rank,name,uid,changesets,map_changes,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,building.create,building.modify,building.delete,highway.create,highway.modify,highway.delete,waterway.create,waterway.modify,waterway.delete,amenity.create,amenity.modify,amenity.delete,landuse.create,landuse.modify,landuse.delete,natural.create,natural.modify,natural.delete
46,Quang Huy NGUYEN,10341989,22,2599,568,1810,0,92,129,0,0,0,0,72,104,0,20,14,0,0,1,0,0,0,0,0,10,0,0,0,0
47,Nirmala Rawat,16471699,18,2594,1982,108,0,495,9,0,0,0,0,486,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,tek kumari rana magar,16481717,13,2450,2023,0,0,425,2,0,0,0,0,420,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Riyadi IRM-RV,8072077,4,2411,887,1480,0,2,40,0,0,2,0,0,1,0,2,38,0,0,0,0,0,0,0,0,1,0,0,0,0
50,Juber Ansari,17831298,132,2364,1780,177,0,361,46,0,0,0,0,309,3,0,47,39,0,1,1,0,1,3,0,0,0,0,6,2,0
51,Tengku Almira IRM-ED,17716288,64,2344,1094,1147,0,0,103,0,0,0,0,0,4,0,0,97,0,0,0,0,0,0,0,0,1,0,0,1,0
52,Prithivistha,11600220,15,2282,921,1120,0,230,11,0,0,0,0,229,0,0,0,5,0,0,0,0,0,0,0,1,6,0,0,0,0
53,Dikshya Sapkota,14580180,12,2023,1455,230,0,338,0,0,0,0,0,334,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
54,Bunbury1,15750267,18,1980,242,1462,0,43,217,0,0,16,0,0,2,0,43,202,0,0,2,0,0,0,0,0,4,0,0,4,0
55,Indra_Paudel,17684571,34,1959,1799,1,0,152,7,0,0,0,0,125,1,0,12,2,0,2,2,0,2,0,0,13,1,0,0,0,0
56,Boyan Alexiev,5686224,11,1856,1377,271,0,176,32,0,0,0,0,143,9,0,25,19,0,0,1,0,0,0,0,6,3,0,2,0,0
57,Heinz_V,91490,33,1806,1699,41,0,38,19,0,0,9,0,0,2,0,8,8,0,0,0,0,0,2,0,0,0,0,18,0,0
58,Kiran Guragain,17993587,301,1750,1369,15,0,295,71,0,0,0,0,149,7,0,104,47,0,1,2,0,0,0,0,11,12,0,27,3,0
59,Gerrit Bossenbroek,10535156,4,1610,362,1155,0,89,4,0,0,0,0,89,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
60,SachinRayamajhi,13270443,16,1519,1282,18,0,199,20,0,0,0,0,160,6,0,21,14,0,0,0,0,2,3,0,4,0,0,3,0,0
61,Nolichucky,9090061,23,1413,628,653,0,61,70,0,0,1,0,0,2,0,57,64,0,3,3,0,0,0,0,0,1,0,0,0,0
62,Masherbrum,10888593,32,1394,443,920,0,0,31,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Sujan Rai,17993621,3,1349,951,328,0,34,36,0,0,0,0,27,9,0,7,23,0,0,1,0,3,0,0,0,0,0,0,1,0
64,Vivek Dumre,13116824,4,1299,126,1106,0,2,65,0,0,0,0,2,54,0,0,2,0,0,0,0,0,0,0,0,8,0,0,1,0
65,maferikotupi,2115804,9,1295,637,508,0,129,21,0,0,0,0,127,1,0,2,12,0,0,0,0,0,0,0,0,6,0,0,1,0
66,Corvus_Corax,4914818,4,1272,738,379,0,113,29,0,0,13,0,100,21,0,2,10,0,8,5,0,1,0,0,2,2,0,0,0,0
67,R@bina dhakal,17378030,15,1061,854,0,0,207,0,0,0,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Narayan Thapa,11295416,4,930,330,562,0,18,20,0,0,0,0,12,14,0,5,3,0,0,1,0,0,0,0,0,0,0,1,2,0
69,Nikita2057,16601239,18,912,901,9,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,434,3,0,0,0,0,1,0,0
70,sng24,11369031,6,891,713,2,0,174,2,0,0,0,0,174,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
71,euanmon,17163988,5,824,232,521,0,39,32,0,0,0,0,17,2,0,18,27,0,4,3,0,0,1,0,0,0,0,0,0,0
72,JKerry,15222030,6,808,367,350,0,91,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,DesMoinesRiver,17110692,11,766,182,552,0,1,31,0,0,0,0,0,0,0,1,31,0,0,0,0,0,2,0,0,0,0,0,0,0
74,Meena Acharya,18079156,11,637,510,0,0,127,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,OlushandjaDam,16528266,21,617,57,494,0,4,62,0,0,0,0,0,0,0,4,63,0,0,2,0,0,1,0,0,0,0,0,0,0
76,Ghyasang Ghising,10651478,9,603,396,165,0,19,20,0,3,0,0,8,3,0,9,13,0,0,1,0,1,1,0,1,1,0,1,0,0
77,Fadlilaa IRM-RV,8650974,5,594,48,521,0,10,14,0,0,1,0,0,0,0,2,7,0,8,7,0,0,0,0,0,0,0,0,0,0
78,JosV67,12605406,3,587,337,176,0,71,3,0,0,0,0,66,1,0,1,0,0,0,1,0,0,0,0,4,1,0,0,0,0
79,Ayush2022,17107374,7,572,323,167,0,68,14,0,0,0,0,63,9,0,3,5,0,0,0,0,5,1,0,1,0,0,0,0,0
80,Gita oli,16481722,10,570,400,70,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Loppi,2457192,1,545,435,15,0,90,5,0,0,0,0,90,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
