rank,name,profile,uid,changesets,map_changes,countries,editors,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,poi.create,poi.modify,building.create,building.modify,highway.create,highway.modify,waterway.create,waterway.modify,amenity.create,amenity.modify,tags_create,tags_modify,hashtags,start_date,end_date
17,Nikhil Kc,https://www.openstreetmap.org/user/Nikhil%20Kc,19937154,10,686,Nepal,"iD 2.26.2,iD 2.21.1",579,23,0,77,7,0,0,0,0,0,0,59.0,0.0,9.0,4.0,7.0,0.0,0.0,0.0,"{""building"": 59, ""highway"": 9, ""waterway"": 7, ""natural"": 2, ""water"": 2, ""layer"": 1, ""tunnel"": 1, ""intermittent"": 1}","{""highway"": 4, ""admin_level"": 2, ""boundary"": 2}","#hotosm-project-14901,#mapbuds,#youthmappers,#digitalnepal,#osmnepal,#missingmaps,#Agrimappers",2023-07-16 00:00:00+00:00,2023-07-23 00:00:00+00:00
18,SadikshyaKhatri,https://www.openstreetmap.org/user/SadikshyaKhatri,19937380,5,593,Nepal,iD 2.21.1,492,13,0,85,3,0,0,0,0,0,0,32.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,"{""landuse"": 46, ""building"": 32, ""name"": 9, ""highway"": 4, ""natural"": 3, ""building:levels"": 2}","{""highway"": 2, ""source"": 1, ""building"": 1}","#hotosm-project-14901,#mapbuds,#youthmappers,#digitalnepal,#osmnepal,#missingmaps,#Agrimappers",2023-07-16 00:00:00+00:00,2023-07-23 00:00:00+00:00
19,Arun Kumar Bhomi,https://www.openstreetmap.org/user/Arun%20Kumar%20Bhomi,13031135,5,589,Nepal,JOSM/1.5 (18772 en),466,44,0,73,6,0,0,0,0,0,0,65.0,3.0,5.0,1.0,0.0,1.0,0.0,0.0,"{""building"": 65, ""highway"": 5, ""landuse"": 3}","{""building"": 3, ""highway"": 1, ""intermittent"": 1, ""waterway"": 1}","#hotosm-project-14987,#kll,#mappingtheunmapped,#mapforcause,#osmnepal,#hotosm-project-13168,#KLL,#MapGive",2023-07-16 00:00:00+00:00,2023-07-23 00:00:00+00:00
20,SushmaGhimire,https://www.openstreetmap.org/user/SushmaGhimire,6980610,6,584,Nepal,"JOSM/1.5 (18746 en),iD 2.26.2",533,11,0,40,0,0,0,0,0,0,0,37.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,"{""building"": 37, ""highway"": 3}",{},"#hotosm-project-14987,#kll,#mappingtheunmapped,#mapforcause,#osmnepal",2023-07-16 00:00:00+00:00,2023-07-23 00:00:00+00:00
21,roshanojha,https://www.openstreetmap.org/user/roshanojha,16221883,13,529,Nepal,"iD 2.26.2,iD 2.21.1",370,61,0,88,10,0,0,0,0,3,0,84.0,3.0,1.0,6.0,0.0,0.0,1.0,2.0,"{""building"": 84, ""area"": 10, ""name"": 4, ""natural"": 2, ""opening_hours"": 2, ""sport"": 1, ""surface"": 1, ""amenity"": 1, ""leisure"": 1, ""time"": 1, ""highway"": 1, ""power"": 1}","{""highway"": 6, ""name"": 6, ""ref"": 5, ""ref:old"": 5, ""bicycle"": 4, ""oneway"": 4, ""building"": 3, ""amenity"": 2, ""source"": 1, ""building:floor"": 1, ""level"": 1, ""industrial"": 1, ""barrier"": 1, ""historic"": 1, ""historic:civilization"": 1, ""layer"": 1, ""surface"": 1, ""access"": 1, ""area"": 1, ""bicycle_parking"": 1, ""covered"": 1, ""fee"": 1}","#hotosm-project-14901,#mapbuds,#youthmappers,#digitalnepal,#osmnepal,#missingmaps,#Agrimappers",2023-07-16 00:00:00+00:00,2023-07-23 00:00:00+00:00
22,Sangampoudel,https://www.openstreetmap.org/user/Sangampoudel,19937175,7,518,Nepal,"iD 2.21.1,iD 2.26.2",481,2,0,29,6,0,0,0,0,0,0,2.0,2.0,16.0,4.0,0.0,0.0,0.0,0.0,"{""highway"": 16, ""crop"": 11, ""landuse"": 11, ""surface"": 4, ""tracktype"": 3, ""produce"": 3, ""foot"": 2, ""motor_vehicle"": 2, ""building"": 2, ""bicycle"": 1, ""lanes"": 1, ""horse"": 1, ""building:levels"": 1}","{""highway"": 4, ""addr:city"": 2, ""addr:place"": 2, ""building"": 2, ""building:levels"": 1, ""smoking"": 1}","#hotosm-project-14901,#mapbuds,#youthmappers,#digitalnepal,#osmnepal,#missingmaps,#Agrimappers",2023-07-16 00:00:00+00:00,2023-07-23 00:00:00+00:00
23,Kadubei,https://www.openstreetmap.org/user/Kadubei,16642036,2,495,"Nepal,China",JOSM/1.5 (18746 fr),0,1,0,0,493,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,{},"{""name"": 494, ""name:ar"": 494, ""name:arc"": 494, ""name:az-Arab"": 494, ""name:azb"": 494, ""name:be"": 494, ""name:de"": 494, ""name:el"": 494, ""name:es"": 494, ""name:fa"": 494, ""name:fr"": 494, ""name:grc"": 494, ""name:ks"": 494, ""name:pa"": 494, ""name:sr"": 494, ""name:syc"": 494, ""name:uk"": 494, ""name:ur"": 494, ""admin_level"": 493, ""boundary"": 493, ""name:af"": 492, ""name:da"": 492, ""name:is"": 492, ""name:lb"": 492, ""name:ne"": 492, ""name:nl"": 492, ""name:ps"": 492, ""name:pt"": 492, ""name:ro"": 492, ""name:sv"": 492, ""border_type"": 415, ""source"": 385, ""wdb:source"": 300, ""note"": 24, ""disputed"": 7, ""name:be-tarask"": 2, ""name:it"": 2, ""name:ug"": 2, ""waterway"": 2, ""FIXME"": 1}",,2023-07-16 00:00:00+00:00,2023-07-23 00:00:00+00:00
24,Lalit_IAAS,https://www.openstreetmap.org/user/Lalit_IAAS,11589667,11,490,Nepal,"iD 2.26.2,StreetComplete 51.0,JOSM/1.5 (18772 en)",197,240,0,35,18,0,0,0,0,0,0,35.0,5.0,0.0,13.0,0.0,0.0,0.0,1.0,"{""building"": 35}","{""highway"": 13, ""building"": 5, ""surface"": 3, ""name"": 2, ""ref"": 2, ""bicycle"": 1, ""check_date:surface"": 1, ""foot"": 1, ""horse"": 1, ""motor_vehicle"": 1, ""mtb:scale"": 1, ""addr:city"": 1, ""addr:street"": 1, ""amenity"": 1}","#AgrimappersPaklihawa,#OSM",2023-07-16 00:00:00+00:00,2023-07-23 00:00:00+00:00
25,Aadesh Baral,https://www.openstreetmap.org/user/Aadesh%20Baral,13526430,5,480,Nepal,iD 2.21.1,380,1,0,98,1,0,0,0,0,0,1,98.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{""building"": 98}","{""ford"": 1, ""name"": 1, ""waterway"": 1}","#hotosm-project-14987,#kll,#mappingtheunmapped,#mapforcause,#osmnepal",2023-07-16 00:00:00+00:00,2023-07-23 00:00:00+00:00
26,arun_3:16,https://www.openstreetmap.org/user/arun_3%3A16,16217109,7,468,Nepal,"iD 2.26.2,iD 2.21.1",343,38,0,75,12,0,0,0,0,0,3,45.0,7.0,5.0,2.0,0.0,0.0,0.0,4.0,"{""building"": 45, ""landuse"": 19, ""addr:city"": 11, ""natural"": 5, ""highway"": 5, ""water"": 2, ""addr:street"": 1, ""name"": 1, ""bicycle"": 1, ""foot"": 1, ""man_made"": 1}","{""building"": 7, ""addr:city"": 6, ""amenity"": 4, ""name"": 4, ""addr:street"": 2, ""highway"": 2, ""source"": 2, ""shop"": 1, ""religion"": 1, ""leisure"": 1, ""cuisine"": 1, ""craft"": 1, ""landuse"": 1}","#hotosm-project-14901,#mapbuds,#youthmappers,#digitalnepal,#osmnepal,#missingmaps,#Agrimappers",2023-07-16 00:00:00+00:00,2023-07-23 00:00:00+00:00
