rank,name,profile,uid,changesets,map_changes,countries,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,poi.create,poi.modify,building.create,building.modify,highway.create,highway.modify,waterway.create,waterway.modify,amenity.create,amenity.modify,tags_create,tags_modify,hashtags,start_date,end_date
11,Pisciaarya,https://www.openstreetmap.org/user/Pisciaarya,15628134,71,5075,Nepal,3834,273,117,821,9,21,0,0,0,0,0,820,3,0,4,0,0,0,0,"{""building"": 820}","{""name"": 4, ""highway"": 4, ""building"": 3, ""office"": 1, ""landuse"": 1}","#hotosm-project-14284,#KU,#digitalnepal,#osmnepal,#ges,#nepgeom23",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
12,Anil Basnet,https://www.openstreetmap.org/user/Anil%20Basnet,3686666,8,4654,Nepal,4514,65,0,65,10,0,0,0,0,0,2,45,1,0,5,0,0,0,0,"{""building"": 45, ""natural"": 11, ""landuse"": 9}","{""highway"": 5, ""surface"": 5, ""name"": 4, ""natural"": 3, ""name:ne"": 2, ""landuse"": 2, ""shop"": 1, ""name:en"": 1, ""name:hi"": 1, ""place"": 1, ""building"": 1}","#dmd,#mapbuds,#youthmappers,#digitalnepal,#osmnepal,#missingmaps,#gesan",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
13,Laxmi oli,https://www.openstreetmap.org/user/Laxmi%20oli,16471697,8,4315,Nepal,3479,0,0,835,1,0,0,0,0,0,0,835,0,0,1,0,0,0,0,"{""building"": 835}","{""highway"": 1}","#geoneer,#janashram",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
14,Sudha Singh Bhandari,https://www.openstreetmap.org/user/Sudha%20Singh%20Bhandari,10111738,42,3934,Nepal,864,2850,11,159,50,0,0,0,0,0,0,153,30,4,7,0,2,0,0,"{""building"": 153, ""highway"": 4, ""landuse"": 2, ""ford"": 1}","{""building"": 30, ""highway"": 7, ""landuse"": 5, ""natural"": 4, ""waterway"": 2, ""ref"": 1, ""surface"": 1, ""leaf_cycle"": 1, ""water"": 1, ""tracktype"": 1, ""damage:event"": 1, ""emergency:helipad"": 1}","#hotosm-project-11726,#TayarNepal,#NepalYIL,#DRRFellowship2021,#Digital,#BIPAD,#hotosm-project-11732",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
15,Govinda Yadav,https://www.openstreetmap.org/user/Govinda%20Yadav,13252552,6,3572,Nepal,2646,296,0,612,18,0,0,0,0,0,0,603,4,7,10,1,1,0,0,"{""building"": 603, ""highway"": 7, ""layer"": 1, ""waterway"": 1, ""natural"": 1, ""water"": 1}","{""highway"": 10, ""building"": 4, ""ref"": 2, ""ref:old"": 2, ""landuse"": 1, ""intermittent"": 1, ""waterway"": 1, ""layer"": 1}","#hotosm-project-12950,#MissingMaps,#Nepal,#NRCS,#redcross,#ENCORE",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
16,Arbin0102,https://www.openstreetmap.org/user/Arbin0102,18508459,36,3571,Nepal,2383,489,121,524,29,25,0,0,0,0,0,511,17,0,11,0,0,0,0,"{""building"": 511, ""buiding"": 8, ""bunker_type"": 1}","{""building"": 17, ""highway"": 11, ""name"": 7, ""noname"": 1, ""landuse"": 1}","#hotosm-project-14284,#KU,#digitalnepal,#osmnepal,#ges,#nepgeom23",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
17,wzdxs,https://www.openstreetmap.org/user/wzdxs,18497146,13,3334,"China,India,Nepal",2822,17,1,448,45,0,0,1,0,2,0,397,12,4,6,2,4,0,0,"{""building"": 397, ""landuse"": 45, ""highway"": 4, ""layer"": 3, ""waterway"": 2, ""ford"": 1, ""leisure"": 1, ""bridge"": 1}","{""landuse"": 12, ""building"": 12, ""natural"": 9, ""source"": 7, ""name"": 6, ""highway"": 6, ""waterway"": 4, ""ref"": 2, ""alt_name"": 2, ""alt_name:hi"": 2, ""alt_name_2"": 2, ""boat"": 2, ""int_name"": 2, ""name:en"": 2, ""name:hi"": 2, ""name:ne"": 2, ""wikipedia"": 2, ""wood"": 2, ""admin_level"": 1, ""boundary"": 1, ""disputed"": 1, ""intermittent"": 1, ""elevation"": 1, ""residential"": 1, ""bridge"": 1, ""ref:old"": 1, ""tracktype"": 1, ""layer"": 1, ""location"": 1, ""man_made"": 1, ""substance"": 1, ""note"": 1, ""route"": 1, ""type"": 1, ""wikidata"": 1}",,2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
18,Dary Raihanah IRM-ED,https://www.openstreetmap.org/user/Dary%20Raihanah%20IRM-ED,15053262,8,2457,Nepal,1294,1152,0,0,11,0,0,0,0,0,1,0,0,0,10,0,0,0,0,{},"{""highway"": 10, ""ref"": 4, ""ref:old"": 2, ""ford"": 1, ""source"": 1, ""smoothness"": 1, ""natural"": 1}","#AtlasChecks,#SharpAngleCheck,#maproulette",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
19,Aachal312,https://www.openstreetmap.org/user/Aachal312,18313656,52,2364,Nepal,1700,235,32,381,12,4,0,0,0,5,0,346,0,2,7,7,2,0,0,"{""building"": 346, ""Building"": 29, ""waterway"": 7, ""name"": 4, ""highway"": 2, ""natural"": 1}","{""highway"": 7, ""landuse"": 3, ""name"": 2, ""waterway"": 2, ""Building"": 1, ""ref"": 1, ""ref:old"": 1, ""surface"": 1}","#hotosm-project-14267,#NepGeom,#pre_event,#GES,#YouthMappers,#hotosm-project-14284,#KU,#digitalnepal,#osmnepal,#ges,#nepgeom23",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
20,Dibikshya Shrestha,https://www.openstreetmap.org/user/Dibikshya%20Shrestha,16060450,9,2363,"Nepal,India",520,1805,0,31,6,0,0,1,0,0,2,2,0,2,4,0,0,0,0,"{""natural"": 27, ""building"": 2, ""highway"": 2, ""ref"": 2, ""bridge"": 1, ""layer"": 1}","{""highway"": 4, ""ref"": 2, ""admin_level"": 1, ""boundary"": 1, ""landuse"": 1, ""route"": 1, ""type"": 1, ""railway"": 1, ""abandoned:railway"": 1}","#hotosm-project-14219,#TürkiyeEQ060223,#yercizenler,#gesan,#geoneer,#youthmappers,#hotosm-project-14015,#MappingRuralNepal,#bijaynagar,#OSMNepal,#YouthMappers,#OMHAP,#missingmaps,#digitalnepal,#nptrain,#mapbuds,#youthmapper",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
