rank,name,profile,uid,changesets,map_changes,countries,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,poi.create,poi.modify,building.create,building.modify,highway.create,highway.modify,waterway.create,waterway.modify,amenity.create,amenity.modify,tags_create,tags_modify,hashtags,start_date,end_date
43,Gita oli,https://www.openstreetmap.org/user/Gita%20oli,16481722,2,463,Nepal,352,23,0,88,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,"{""building"": 88}",{},"#geoneer,#janashram",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
44,OuanoukrimMNT,https://www.openstreetmap.org/user/OuanoukrimMNT,14854330,6,463,Nepal,190,213,0,38,22,0,0,0,0,0,0,0,2,38,20,0,0,0,0,"{""highway"": 38}","{""highway"": 20, ""name"": 5, ""source"": 4, ""ref"": 3, ""name:ne"": 3, ""building"": 2, ""note"": 1, ""surface"": 1, ""ref:old"": 1, ""tracktype"": 1}",#adt,2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
45,Juber Ansari,https://www.openstreetmap.org/user/Juber%20Ansari,17831298,5,445,"Nepal,India",355,22,0,64,4,0,0,0,0,0,0,58,0,6,4,0,0,0,0,"{""building"": 58, ""highway"": 6}","{""highway"": 4, ""surface"": 2, ""lanes"": 1, ""ref"": 1, ""ref:old"": 1, ""name"": 1}","#gesan,#kll,#osmnepal,#geomaters,#youthmappers,#missnigmaps",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
46,Ankiiii,https://www.openstreetmap.org/user/Ankiiii,15615879,9,442,Nepal,117,289,0,22,14,0,0,0,0,0,3,15,4,4,3,0,0,0,0,"{""building"": 15, ""highway"": 4, ""landuse"": 2, ""natural"": 1}","{""building"": 4, ""landuse"": 4, ""highway"": 3, ""ford"": 3, ""natural"": 2}","#hotosm-project-14193,#Rautahat2023,#Digitalmapping,#YI-Lab,#EU,#MercyCorp",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
47,Lord Krishna@,https://www.openstreetmap.org/user/Lord%20Krishna%40,16279279,1,431,Nepal,243,160,0,28,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,"{""building"": 24, ""road"": 1}",{},"#gesan,#youthmappers",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
48,Haris IRM-ED,https://www.openstreetmap.org/user/Haris%20IRM-ED,12027858,2,397,Nepal,221,174,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,{},"{""highway"": 2, ""note"": 1, ""surface"": 1}","#AtlasChecks,#SharpAngleCheck,#maproulette",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
49,Abinash,https://www.openstreetmap.org/user/Abinash,2767394,11,387,Nepal,208,117,0,50,12,0,0,0,0,0,0,50,5,0,4,0,0,0,0,"{""building"": 50}","{""building"": 5, ""highway"": 4, ""name"": 1, ""ref"": 1, ""surface"": 1, ""damage:event"": 1, ""idp:camp_site"": 1, ""source"": 1, ""natural"": 1, ""landuse"": 1}","#hotosm-project-11726,#TayarNepal,#NepalYIL,#DRRFellowship2021,#Digital,#BIPAD",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
50,purnima budha,https://www.openstreetmap.org/user/purnima%20budha,16481713,3,380,Nepal,304,0,0,76,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,"{""building"": 76}",{},"#geoneer,#janashram",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
51,Indra_Paudel,https://www.openstreetmap.org/user/Indra_Paudel,17684571,6,355,Nepal,283,7,0,64,1,0,0,0,0,3,0,64,1,0,0,0,0,0,0,"{""building"": 64, ""building:levels"": 8, ""landuse"": 2, ""natural"": 1}","{""building"": 1}","#youthmappers,#gesan,#nptrain,#nepaltrain,#dostrain,#hotosm-project-13168,#KLL,#MapGive,#mappingtheunmapped,#mapforcause,#osmnepal",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
52,Gustav Maps,https://www.openstreetmap.org/user/Gustav%20Maps,14415655,3,340,Nepal,285,3,0,51,1,0,0,0,0,0,0,49,0,0,0,0,0,0,0,"{""building"": 49, ""landuse"": 2, ""tourism"": 1, ""residential"": 1}","{""addr:street"": 1, ""internet_access"": 1, ""name:en"": 1, ""operator"": 1, ""tourism"": 1, ""landuse"": 1}","#hotosm-project-14267,#NepGeom,#pre_event,#GES,#YouthMappers",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
53,yadav@2061,https://www.openstreetmap.org/user/yadav%402061,17388535,22,337,Nepal,273,2,0,51,11,0,0,0,0,0,0,46,3,5,7,0,0,0,0,"{""building"": 46, ""addr:city"": 28, ""highway"": 5, ""addr:street"": 4, ""name"": 3, ""tourism"": 1}","{""highway"": 7, ""building"": 3, ""landuse"": 1, ""source"": 1}","#geoneer,#osmnepal,#gesan,#booster_grant_nepal_2021,#kll,#youthmappers",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
54,LakeTiticaca,https://www.openstreetmap.org/user/LakeTiticaca,16782652,5,321,Nepal,116,155,0,26,24,0,0,0,0,0,0,0,0,26,24,0,0,0,0,"{""highway"": 26}","{""highway"": 24, ""int_ref"": 4, ""name"": 4, ""ref"": 4, ""ref:old"": 4, ""oneway"": 3, ""lanes"": 2, ""surface"": 2, ""source"": 2, ""name:de"": 1, ""name:en"": 1, ""name:es"": 1, ""name:fa"": 1, ""name:ks"": 1, ""name:ne"": 1, ""name:pl"": 1, ""name:ur"": 1}",#adt,2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
55,Fauzan IRM-ED,https://www.openstreetmap.org/user/Fauzan%20IRM-ED,8954099,5,310,Nepal,146,159,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,{},"{""landuse"": 4, ""highway"": 1}","#AtlasChecks,#InvalidGeometryCheck,#maproulette,#SharpAngleCheck",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
56,notashwinii,https://www.openstreetmap.org/user/notashwinii,18507294,14,298,Nepal,202,9,34,45,2,6,0,0,0,0,0,45,1,0,1,0,0,0,0,"{""building"": 45}","{""highway"": 1, ""building"": 1}","#hotosm-project-14284,#KU,#digitalnepal,#osmnepal,#ges,#nepgeom23",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
57,@NIKITA_STHA,https://www.openstreetmap.org/user/%40NIKITA_STHA,18479191,3,293,,37,246,0,8,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,"{""building"": 2}","{""building"": 2}",,2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
58,Sajeevini sivajothy,https://www.openstreetmap.org/user/Sajeevini%20sivajothy,15741221,3,285,Nepal,222,35,0,24,4,0,0,0,0,0,0,22,1,2,2,0,0,0,0,"{""building"": 22, ""highway"": 2, ""surface"": 2}","{""highway"": 2, ""surface"": 2, ""natural"": 1, ""smoothness"": 1, ""building"": 1}",#hotosm-project-12756,2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
59,Tantri IRM-ED,https://www.openstreetmap.org/user/Tantri%20IRM-ED,10910640,4,278,Nepal,108,148,14,1,7,0,0,0,0,0,0,0,0,1,7,0,0,0,0,"{""highway"": 1, ""source"": 1}","{""highway"": 7, ""source"": 5}","#AtlasChecks,#SharpAngleCheck,#maproulette",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
60,Marvin de Hont,https://www.openstreetmap.org/user/Marvin%20de%20Hont,6616734,2,246,Nepal,138,61,0,32,15,0,0,0,0,0,0,32,5,0,6,0,0,0,0,"{""building"": 32}","{""highway"": 6, ""building"": 5, ""landuse"": 4}","#hotosm-project-8942,#KLL,#covid_19,#mappingtheunmapped,#mapforcause,#osmnepal,#covid19-nepal",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
61,SalisburyPlain,https://www.openstreetmap.org/user/SalisburyPlain,16162423,8,242,Nepal,80,130,0,20,12,0,0,0,0,0,0,0,0,20,12,0,0,0,0,"{""highway"": 20, ""name"": 2}","{""highway"": 12, ""name"": 4, ""ref"": 1, ""surface"": 1}",#adt,2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
62,Avinash kumar mahaseth,https://www.openstreetmap.org/user/Avinash%20kumar%20mahaseth,18466046,6,234,Nepal,173,11,7,40,2,1,0,0,0,0,0,40,2,0,0,0,0,0,0,"{""building"": 40}","{""building"": 2}","#hotosm-project-14284,#KU,#digitalnepal,#osmnepal,#ges,#nepgeom23",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
63,Sanjay41,https://www.openstreetmap.org/user/Sanjay41,18498197,1,226,Nepal,148,47,0,14,16,0,0,1,0,0,0,0,3,14,7,0,1,0,2,"{""highway"": 14, ""lanes"": 1, ""maxspeed"": 1, ""oneway"": 1, ""surface"": 1, ""bridge"": 1, ""layer"": 1}","{""name"": 9, ""highway"": 7, ""building"": 3, ""layer"": 2, ""source"": 2, ""admin_level"": 2, ""boundary"": 2, ""amenity"": 2, ""emergency"": 2, ""bridge"": 1, ""ref"": 1, ""ref:old"": 1, ""boundary_type"": 1, ""landuse"": 1, ""addr:city"": 1, ""damage:event"": 1, ""idp:camp_site"": 1, ""idp:source_20150427"": 1, ""idp:status_20150427"": 1, ""boat"": 1, ""name:ne"": 1, ""waterway"": 1, ""building_count"": 1, ""facility:icu"": 1, ""facility:operating_theatre"": 1, ""facility:ventilator"": 1, ""facility:x-ray"": 1, ""healthcare"": 1, ""operator:type"": 1, ""type"": 1}",,2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
64,Asmita Roka Magar,https://www.openstreetmap.org/user/Asmita%20Roka%20Magar,16471709,5,225,Nepal,180,0,0,45,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,"{""building"": 45}",{},"#geoneer,#janashram",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
65,Roel Smits,https://www.openstreetmap.org/user/Roel%20Smits,2947853,3,222,Nepal,142,4,42,24,2,8,0,0,0,0,0,18,0,6,2,0,0,0,0,"{""building"": 18, ""highway"": 6}","{""highway"": 2}","#hotosm-project-14284,#KU,#digitalnepal,#osmnepal,#ges,#nepgeom23",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
66,thapa prativa,https://www.openstreetmap.org/user/thapa%20prativa,18508229,3,209,Nepal,123,44,0,34,8,0,0,0,0,0,0,23,5,1,1,0,0,0,0,"{""building"": 23, ""highway"": 1, ""maxspeed"": 1, ""vehicle"": 1}","{""building"": 5, ""landuse"": 2, ""highway"": 1, ""source"": 1, ""barrier"": 1}","#hotosm-project-14284,#KU,#digitalnepal,#osmnepal,#ges,#nepgeom23",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
67,Irfandi IRM-ED,https://www.openstreetmap.org/user/Irfandi%20IRM-ED,17714747,4,181,Nepal,57,118,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,{},"{""highway"": 5, ""surface"": 3, ""name"": 2, ""natural"": 1}","#AtlasChecks,#ConnectivityCheck,#maproulette,#SharpAngleCheck",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
68,Jit bahadur budhathoki,https://www.openstreetmap.org/user/Jit%20bahadur%20budhathoki,16471695,3,175,Nepal,127,16,0,32,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,"{""building"": 32}",{},"#geoneer,#janashram",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
69,Sameer_basn,https://www.openstreetmap.org/user/Sameer_basn,18516668,1,122,Nepal,95,3,0,23,1,0,0,0,0,0,0,22,1,0,0,0,0,0,0,"{""building"": 22}","{""building"": 1}","#hotosm-project-14284,#KU,#digitalnepal,#osmnepal,#ges,#nepgeom23",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
70,Shekhar79,https://www.openstreetmap.org/user/Shekhar79,9080981,1,116,Nepal,71,26,0,14,5,0,0,0,0,1,0,11,1,3,3,0,0,0,0,"{""building"": 11, ""source"": 6, ""highway"": 3, ""addr:country"": 1, ""name"": 1, ""bicycle"": 1, ""foot"": 1, ""horse"": 1, ""motor_vehicle"": 1}","{""highway"": 3, ""name"": 2, ""oneway"": 2, ""bridge"": 1, ""layer"": 1, ""admin_level"": 1, ""boundary"": 1, ""horse"": 1, ""maxspeed"": 1, ""motor_vehicle"": 1, ""ref"": 1, ""building"": 1, ""source"": 1}","#hotosm-project-10333,#dmd,#GES,#Kathmandu_University,#MissingMaps,#YouthMappers,#Mappingfromhome",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
71,adiatmad,https://www.openstreetmap.org/user/adiatmad,2901733,1,94,Nepal,4,72,0,0,18,0,0,0,0,0,0,0,14,0,2,0,0,0,0,{},"{""building"": 14, ""highway"": 2, ""landuse"": 1, ""natural"": 1, ""water"": 1}",,2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
72,The087,https://www.openstreetmap.org/user/The087,18498857,1,84,Nepal,74,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""natural"": 6, ""landuse"": 4}",{},"#hotosm-project-14267,#NepGeom,#pre_event,#GES,#YouthMappers",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
73,DAJNoel,https://www.openstreetmap.org/user/DAJNoel,11594827,2,75,Nepal,58,3,0,14,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,"{""building"": 14}",{},"#hotosm-project-14267,#NepGeom,#pre_event,#GES,#YouthMappers",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
74,yalylnub,https://www.openstreetmap.org/user/yalylnub,18501782,5,72,Nepal,58,0,0,13,1,0,0,0,0,0,0,13,1,0,0,0,0,0,0,"{""building"": 13}","{""building"": 1}","#hotosm-project-8097,#MissingMaps,#Nepal,#NRCS,#redcross",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
75,Bibek_Karki,https://www.openstreetmap.org/user/Bibek_Karki,14580151,1,57,,12,42,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,"{""building"": 3}",{},,2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
76,Sledge92,https://www.openstreetmap.org/user/Sledge92,11809657,1,54,Nepal,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,{},"{""admin_level"": 54, ""boundary"": 54, ""type"": 54, ""name"": 53, ""name:en"": 53, ""int_name"": 2, ""alt_name"": 1, ""name:de"": 1, ""FIXME"": 1, ""description"": 1, ""image"": 1, ""name:ne"": 1, ""source"": 1, ""website"": 1, ""wikidata"": 1, ""wikipedia"": 1}",,2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
77,PontaDoOuro,https://www.openstreetmap.org/user/PontaDoOuro,10461192,1,54,Nepal,16,26,0,7,5,0,0,0,0,0,0,0,0,7,5,0,0,0,0,"{""highway"": 7}","{""highway"": 5, ""name"": 2}",#adt,2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
78,Manoj Thapa,https://www.openstreetmap.org/user/Manoj%20Thapa,781054,6,53,Nepal,1,27,0,1,24,0,0,0,0,0,0,0,0,1,24,0,0,0,0,"{""highway"": 1, ""surface"": 1, ""tracktype"": 1}","{""highway"": 24, ""surface"": 7, ""tracktype"": 1}",,2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
79,akaldas,https://www.openstreetmap.org/user/akaldas,2857001,3,48,Nepal,32,5,0,4,7,0,0,0,0,0,0,1,4,2,2,0,0,0,0,"{""name"": 2, ""highway"": 2, ""landuse"": 1, ""building"": 1, ""building:levels"": 1, ""fixme"": 1}","{""building"": 4, ""name"": 3, ""note"": 2, ""highway"": 2, ""building:levels"": 2, ""landuse"": 2, ""service"": 1, ""addr:city"": 1, ""addr:postcode"": 1, ""addr:street"": 1, ""ele"": 1, ""name:ne"": 1, ""source"": 1, ""smoking"": 1, ""ref"": 1}",,2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
80,TAH-mis,https://www.openstreetmap.org/user/TAH-mis,15651954,1,47,Nepal,38,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,"{""building"": 9}",{},"#hotosm-project-8097,#MissingMaps,#Nepal,#NRCS,#redcross",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
81,Sarojpokhrel,https://www.openstreetmap.org/user/Sarojpokhrel,10934301,8,45,Nepal,4,33,0,0,8,0,0,0,0,0,0,0,3,0,1,0,0,0,5,{},"{""name"": 7, ""amenity"": 5, ""faculty"": 5, ""name:ne"": 5, ""opening_hours"": 5, ""operator:type"": 5, ""contact:email"": 5, ""personnel:count"": 4, ""source"": 4, ""student:count"": 4, ""contact:phone"": 4, ""addr:street"": 3, ""grades"": 3, ""isced:level"": 3, ""land_area"": 3, ""phone"": 3, ""building"": 3, ""addr:city"": 2, ""email"": 2, ""start_date"": 2, ""status"": 2, ""wheelchair"": 2, ""addr:place"": 1, ""est_date"": 1, ""college:start_date"": 1, ""highway"": 1, ""building:start_date"": 1, ""comment"": 1, ""leisure"": 1, ""addr:postcode"": 1, ""college:est_date"": 1, ""height"": 1, ""operator"": 1}",,2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
82,Pragya Pant,https://www.openstreetmap.org/user/Pragya%20Pant,10967140,9,43,Nepal,12,28,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,"{""building"": 3}",{},,2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
83,wvdp,https://www.openstreetmap.org/user/wvdp,436419,2,42,Nepal,6,22,0,0,14,0,0,0,0,0,14,0,6,0,4,0,3,0,13,{},"{""amenity"": 13, ""healthcare"": 10, ""name"": 9, ""building"": 6, ""highway"": 4, ""shop"": 4, ""bus"": 3, ""name:en"": 3, ""public_transport"": 3, ""opening_hours"": 3, ""waterway"": 3, ""operator"": 2, ""leisure"": 2, ""sport"": 2, ""atm"": 1, ""brand"": 1, ""brand:wikidata"": 1, ""short_name"": 1, ""addr:city"": 1, ""addr:postcode"": 1, ""addr:street"": 1, ""internet_access"": 1, ""internet_access:fee"": 1, ""phone"": 1, ""tourism"": 1}",,2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
84,WellandCanal,https://www.openstreetmap.org/user/WellandCanal,17826497,2,40,Nepal,5,24,0,6,5,0,0,0,0,0,0,0,0,0,4,6,1,0,0,"{""waterway"": 6, ""layer"": 3, ""tunnel"": 3}","{""highway"": 4, ""waterway"": 1, ""layer"": 1, ""tunnel"": 1}",#adt,2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
85,laxmangurung,https://www.openstreetmap.org/user/laxmangurung,18424180,4,36,Nepal,24,6,0,5,1,0,0,0,0,0,0,4,1,1,0,0,0,0,1,"{""building"": 4, ""highway"": 1, ""name"": 1}","{""addr:street"": 1, ""amenity"": 1, ""name"": 1, ""religion"": 1, ""building"": 1, ""height"": 1}",,2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
86,amritkarma,https://www.openstreetmap.org/user/amritkarma,680067,31,35,Nepal,5,29,0,1,0,0,0,0,0,1,28,0,0,0,0,0,0,0,0,"{""name"": 1, ""place"": 1, ""leisure"": 1, ""sport"": 1}","{""name"": 29, ""name:en"": 29, ""name:ne"": 29, ""place"": 29, ""note"": 9, ""ele"": 2, ""source"": 2, ""population"": 1, ""wikidata"": 1, ""wikipedia"": 1, ""GNS:id"": 1, ""flag_skip"": 1, ""fixme"": 1}",#maproulette,2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
87,openstreet5user,https://www.openstreetmap.org/user/openstreet5user,18484511,10,34,"China,Nepal",11,17,3,0,3,0,0,0,0,6,6,0,2,0,1,0,0,3,3,"{""name:ko_rm"": 5, ""addr:street"": 4, ""opening_hours"": 4, ""tourism"": 4, ""internet_access"": 3, ""phone"": 3, ""name:en"": 3, ""amenity"": 3, ""name"": 1, ""addr:postcode"": 1}","{""name"": 7, ""phone"": 4, ""tourism"": 4, ""amenity"": 3, ""addr:street"": 3, ""name:en"": 3, ""name:ko_rm"": 3, ""website"": 2, ""internet_access"": 2, ""opening_hours"": 2, ""building"": 2, ""brand"": 1, ""healthcare"": 1, ""addr:city"": 1, ""name:ne"": 1, ""smoking"": 1, ""highway"": 1}",,2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
88,Tengku Almira IRM-ED,https://www.openstreetmap.org/user/Tengku%20Almira%20IRM-ED,17716288,2,27,Nepal,13,12,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,{},"{""highway"": 2, ""ref"": 1}","#AtlasChecks,#SharpAngleCheck,#maproulette",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
89,solenoid jam,https://www.openstreetmap.org/user/solenoid%20jam,10129333,2,27,"South Sudan,Myanmar",0,14,0,0,13,0,0,0,0,0,13,0,8,0,0,0,0,0,26,{},"{""name"": 27, ""religion"": 27, ""amenity"": 26, ""denomination"": 12, ""building"": 8, ""addr:city"": 7, ""addr:street"": 5, ""addr:housenumber"": 3, ""name:en"": 2, ""source"": 2, ""contact:email"": 1, ""contact:phone"": 1, ""contact:website"": 1, ""BID"": 1, ""roof:shape"": 1, ""access"": 1, ""service_times"": 1, ""fixme"": 1, ""drinking_water"": 1, ""name:ne"": 1, ""opening_hours"": 1, ""toilets"": 1, ""landuse"": 1}",,2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
90,SushmaGhimire,https://www.openstreetmap.org/user/SushmaGhimire,6980610,1,24,Nepal,16,3,0,4,1,0,0,0,0,0,0,3,0,1,1,0,0,0,0,"{""building"": 3, ""highway"": 1}","{""highway"": 1, ""name"": 1}","#hotosm-project-14284,#KU,#digitalnepal,#osmnepal,#ges,#nepgeom23",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
91,vojtechzaboril,https://www.openstreetmap.org/user/vojtechzaboril,8971394,3,23,"China,Nepal,India",18,3,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"{""natural"": 2}","{""alt_name"": 3, ""ele"": 3, ""name"": 3, ""natural"": 3, ""wikidata"": 3, ""note"": 1, ""source:ele"": 1, ""name:ru"": 1, ""prominence"": 1, ""source:prominence"": 1, ""westra_ref"": 1, ""GNS:id"": 1, ""name:cs"": 1, ""source"": 1}",,2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
92,Aadesh Baral,https://www.openstreetmap.org/user/Aadesh%20Baral,13526430,2,22,Nepal,16,2,0,4,0,0,0,0,0,0,1,4,0,0,0,0,0,0,2,"{""building"": 4}","{""addr:postcode"": 2, ""addr:street"": 2, ""amenity"": 2, ""email"": 2, ""name"": 2, ""name:en"": 2, ""name:ne"": 2, ""opening_hours"": 2, ""operator"": 2, ""phone"": 2}","#OSMLocalizer,#LocalizeNepal,#KLL",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
93,Iko IRM-RV,https://www.openstreetmap.org/user/Iko%20IRM-RV,17692411,1,21,Nepal,3,13,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,{},"{""highway"": 5, ""source"": 1, ""ref"": 1}","#FullValidation,#Nepal",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
94,Aabhusan Aryal,https://www.openstreetmap.org/user/Aabhusan%20Aryal,18465288,3,19,Nepal,14,0,0,3,2,0,0,0,0,0,0,1,2,2,0,0,0,1,0,"{""highway"": 2, ""addr:city"": 1, ""addr:street"": 1, ""amenity"": 1, ""atm"": 1, ""name"": 1, ""building"": 1}","{""building"": 2, ""name"": 2, ""addr:city"": 1, ""addr:street"": 1, ""building:levels"": 1, ""shop"": 1}",,2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
95,gscholz,https://www.openstreetmap.org/user/gscholz,109705,8,17,Nepal,3,4,0,0,10,0,0,0,0,0,0,0,0,0,6,0,2,0,0,{},"{""highway"": 6, ""surface"": 2, ""waterway"": 2, ""ref"": 1, ""route"": 1}",,2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
96,Sangeeta BC,https://www.openstreetmap.org/user/Sangeeta%20BC,13203366,1,16,Nepal,0,8,8,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,{},"{""power"": 8, ""structure"": 8, ""source"": 7}",,2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
97,SauravGautam,https://www.openstreetmap.org/user/SauravGautam,3116122,2,16,Nepal,11,1,1,1,2,0,0,0,0,1,0,1,0,0,1,0,0,1,1,"{""amenity"": 1, ""name"": 1, ""building"": 1}","{""amenity"": 1, ""highway"": 1, ""surface"": 1}",,2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
98,Aleksandar1994,https://www.openstreetmap.org/user/Aleksandar1994,3733993,2,15,Nepal,13,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,"{""addr:street"": 1, ""amenity"": 1, ""cuisine"": 1, ""name"": 1, ""opening_hours"": 1, ""highway"": 1}","{""highway"": 1, ""name"": 1, ""ref"": 1, ""ref:old"": 1, ""source"": 1, ""surface"": 1}","#MapBuilder,#MSFTOpenMaps",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
99,Jeff Underwood,https://www.openstreetmap.org/user/Jeff%20Underwood,2021533,1,14,Nepal,0,11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,{},"{""boundary"": 3, ""name"": 3, ""admin_level"": 2, ""name:en"": 2, ""disputed"": 1, ""intermittent"": 1, ""waterway"": 1, ""name:ar"": 1, ""name:arc"": 1, ""name:az-Arab"": 1, ""name:azb"": 1, ""name:da"": 1, ""name:de"": 1, ""name:el"": 1, ""name:es"": 1, ""name:fa"": 1, ""name:gr"": 1, ""name:grc"": 1, ""name:is"": 1, ""name:ks"": 1, ""name:pa"": 1, ""name:ps"": 1, ""name:pt"": 1, ""name:ro"": 1, ""name:sv"": 1, ""name:syc"": 1, ""name:ur"": 1, ""source"": 1, ""leisure"": 1, ""name:ne"": 1, ""protect_class"": 1, ""protection_title"": 1, ""start_date"": 1}",,2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
100,mueschel,https://www.openstreetmap.org/user/mueschel,616774,4,13,Nepal,0,1,1,0,11,0,0,0,0,0,1,0,1,0,0,0,0,0,0,{},"{""aquaculture"": 10, ""landuse"": 10, ""natural"": 10, ""water"": 10, ""material"": 1, ""operational_status"": 1, ""power"": 1, ""building"": 1}",,2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
101,Sameer_12,https://www.openstreetmap.org/user/Sameer_12,18467730,2,12,Nepal,10,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"{""building"": 1, ""boundary"": 1}",{},"#hotosm-project-14284,#KU,#digitalnepal,#osmnepal,#ges,#nepgeom23",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
102,srvbhattarai,https://www.openstreetmap.org/user/srvbhattarai,5084910,5,10,Nepal,10,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,8,0,"{""name"": 10, ""amenity"": 8, ""shop"": 1, ""office"": 1}",{},,2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
103,gary4good,https://www.openstreetmap.org/user/gary4good,18492110,1,9,Nepal,8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"{""building"": 1}",{},"#hotosm-project-11731,#TayarNepal,#NepalYIL,#DRRFellowship2021,#Digital,#BIPAD",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
