timestamp,users,changesets,map_changes,highway_len_m,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,poi.create,poi.modify,building.create,building.modify,highway.create,highway.modify,waterway.create,waterway.modify,amenity.create,amenity.modify,editors,tags_create,tags_modify
2023-05-09,1.0,1.0,240.0,0.0,192.0,0.0,0.0,48.0,0.0,0.0,0,0,0,0,0.0,48.0,0.0,0.0,0.0,0,0.0,0,0.0,"{""josm"": 240}","{""building"": 48}",{}
2023-05-10,2.0,5.0,46.0,0.0,22.0,15.0,0.0,5.0,4.0,0.0,0,0,0,0,1.0,5.0,1.0,0.0,3.0,0,0.0,0,1.0,"{""id "": 28, ""josm"": 18}","{""building"": 5}","{""highway"": 3, ""motor_vehicle"": 3, ""foot"": 3, ""name"": 2, ""website"": 2, ""province"": 1, ""addr:postcode"": 1, ""building"": 1, ""contact:email"": 1, ""addr:street"": 1, ""amenity"": 1, ""phone"": 1, ""source"": 1, ""branch"": 1, ""district"": 1}"
2023-05-13,2.0,13.0,494.0,105.0,94.0,294.0,53.0,16.0,35.0,2.0,0,0,0,0,2.0,2.0,1.0,9.0,31.0,0,2.0,0,2.0,"{""josm"": 494}","{""highway"": 9, ""landuse"": 4, ""building"": 2, ""name"": 1, ""natural"": 1}","{""highway"": 31, ""surface"": 5, ""name"": 4, ""intermittent"": 2, ""amenity"": 2, ""waterway"": 2, ""building"": 1, ""barrier"": 1, ""smoothness"": 1, ""ref"": 1, ""healthcare"": 1, ""description"": 1, ""fixme"": 1, ""junction"": 1}"
2023-05-16,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0,0.0,0,1.0,"{""osmose editor"": 1}",{},"{""name"": 1, ""addr:postcode"": 1, ""building:levels"": 1, ""addr:city"": 1, ""building"": 1, ""addr:street"": 1, ""amenity"": 1}"
