rank,name,uid,changesets,map_changes,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,building.create,building.modify,building.delete,highway.create,highway.modify,highway.delete,waterway.create,waterway.modify,waterway.delete,amenity.create,amenity.modify,amenity.delete,landuse.create,landuse.modify,landuse.delete,natural.create,natural.modify,natural.delete
40,ross-map,8215303,594,163129,114736,13623,0,30092,4648,0,8,22,0,24957,970,0,2748,2221,0,0,6,0,133,159,0,129,84,0,7,3,0
41,afonit,3327134,560,158615,132721,3087,0,21726,1079,0,0,2,0,20728,206,0,1108,1044,0,0,0,0,11,7,0,0,2,0,0,0,0
42,sandroz,11276240,187,156925,118146,29589,0,6375,2197,0,309,309,0,1789,1415,0,56,33,0,73,186,0,0,0,0,148,50,0,1128,268,0
43,erickdeoliveiraleal,463504,868,156417,62492,81983,0,6202,5734,0,0,6,0,1,29,0,6196,5307,0,0,13,0,0,2,0,0,4,0,0,4,0
44,UPegasus,3442717,183,155700,101627,30994,0,18732,4023,0,208,116,0,17233,278,0,912,724,0,34,38,0,21,24,0,160,85,0,71,54,0
45,Koreller,12419855,50,154285,120082,10945,0,21676,1561,0,10,11,0,19893,181,0,1256,472,0,58,22,0,18,12,0,74,20,0,276,9,0
46,JezzaJay,13710052,320,153935,35007,112053,0,4405,2456,0,12,2,0,3751,1314,0,352,681,0,79,176,0,2,20,0,43,67,0,156,29,0
47,Swinger,9301236,67,149509,75975,48136,0,16241,9155,0,0,2,0,16034,98,0,197,294,0,2,3,0,5,6,0,0,2,0,8,0,0
48,Libor Bednarik,4355439,479,147004,93304,36310,0,13597,3753,0,40,0,0,13079,215,0,354,116,0,3,37,0,0,0,0,138,47,0,0,0,0
49,UNGSC-Jrachi,11912345,80,146883,91119,46814,0,3865,3861,0,1016,208,0,1,269,0,216,536,0,49,79,0,0,6,0,599,163,0,1306,182,0
50,ryoro,623097,38,143209,90776,33871,0,14342,4205,0,13,2,0,12978,911,0,857,903,0,0,2,0,162,60,0,130,29,0,76,24,0
51,MatthewAndersonUS80,818552,494,142829,138577,1086,0,2043,1091,0,14,18,0,70,1,0,58,34,0,26,34,0,4,0,0,2,7,0,969,718,0
52,NicaTopo,15960548,178,140593,127610,8979,0,1750,1884,0,247,123,0,166,1,0,125,368,0,1501,1386,0,0,4,0,32,56,0,88,366,0
53,Gantrisch,3518047,822,139854,111852,7066,0,19542,1384,0,5,5,0,19304,162,0,59,109,0,3,6,0,31,45,0,114,97,0,26,2,0
54,Venko,372556,196,139165,118769,16785,0,1751,1770,0,63,27,0,4,23,0,1,142,0,0,4,0,1,7,0,1473,1159,0,227,199,0
55,zluuzki_Import,13282562,14,139128,0,114474,0,0,24653,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,DiyoRuzmetov,17789313,328,135673,62775,44955,0,15393,12545,0,3,2,0,14830,4373,0,71,609,0,0,1,0,30,179,0,31,72,0,1,5,0
57,pmckay419,12633413,69,133150,55624,76377,0,770,370,0,5,4,0,5,0,0,714,256,0,1,15,0,5,9,0,0,1,0,3,27,0
58,Eris-club,7695650,610,129146,105432,7010,0,14734,1905,0,13,52,0,11654,28,0,1302,1041,0,1064,213,0,375,90,0,189,57,0,1107,35,0
59,William Mponeja_ImportAccount,10875458,487,126709,22306,100213,0,338,3849,0,0,3,0,0,35,0,338,3314,0,0,54,0,0,8,0,0,6,0,0,5,0
60,Msiipola,8504386,70,121879,53510,61517,0,2164,4462,0,10,216,0,6,31,0,2243,3970,0,160,127,0,16,61,0,21,179,0,14,65,0
61,Zh9567,9940138,167,121870,81743,7676,0,30424,2002,0,6,19,0,30345,1943,0,7,52,0,0,0,0,15,23,0,20,5,0,4,1,0
62,ReleasedBait,10890438,71,119139,106000,4659,0,6098,1046,0,1174,162,0,176,1,0,1731,668,0,4,63,0,11,0,0,854,29,0,726,134,0
63,pkoby,999995,291,118257,54574,50479,0,3345,9157,0,8,694,0,313,186,0,3135,9078,0,4,8,0,129,67,0,8,35,0,2,28,0
64,ghah_geo_osm,9318945,55,117695,116859,35,0,758,4,0,39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,653,3,0
65,seichter,66497,451,117473,55586,56496,0,3035,2317,0,12,27,0,1574,60,0,583,1298,0,51,137,0,5,6,0,242,78,0,556,229,0
66,kechan_RapiD,17357736,342,115920,98606,169,0,16936,207,0,2,0,0,16700,6,0,238,198,0,0,0,0,1,0,0,0,0,0,0,1,0
67,Hugoren Martinako,3392826,208,115443,294,113762,0,27,1011,0,0,349,0,23,426,0,4,401,0,0,1,0,16,44,0,0,124,0,0,69,0
68,MY5DVrAr0e599Japan,8657210,21,115418,81173,12888,0,19224,2129,0,1,3,0,19213,595,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0
69,reholl,355161,265,115412,106777,6914,0,1334,386,0,0,1,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,1329,377,0
