rank,name,profile,uid,changesets,map_changes,countries,editors,highway_len_m,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,poi.create,poi.modify,building.create,building.modify,highway.create,highway.modify,waterway.create,waterway.modify,amenity.create,amenity.modify,tags_create,tags_modify,hashtags,start_date,end_date
35,Dang Hy Nguyen,https://www.openstreetmap.org/user/Dang%20Hy%20Nguyen,14303069,2,1253,Syrian Arab Republic,iD 2.21.1,0,1029,0,0,223,1,0,0,0,0,0,0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""building"": 223}","{""landuse"": 1}","#hotosm-project-14311,#TürkiyeEQ060223,#Syria,#OMHAP,#MissingMaps",2023-03-07 00:00:00+00:00,2023-03-07 21:21:53+00:00
36,Vufalo1995,https://www.openstreetmap.org/user/Vufalo1995,9093289,3,1116,Turkey,JOSM/1.5 (18678 en_GB),41,500,472,0,117,27,0,0,0,0,0,0,115.0,21.0,1.0,4.0,1.0,0.0,0.0,0.0,"{""building"": 115, ""building:levels"": 6, ""source"": 1, ""waterway"": 1, ""highway"": 1}","{""building"": 21, ""source"": 9, ""highway"": 4, ""building:levels"": 2, ""landuse"": 1, ""name"": 1, ""barrier"": 1}","#hotosm-project-14233,#TürkiyeEQ060223,#yercizenler,#turkiye,#turkey",2023-03-07 00:00:00+00:00,2023-03-07 21:21:53+00:00
37,Kicking Leaves,https://www.openstreetmap.org/user/Kicking%20Leaves,12405934,4,1114,Syrian Arab Republic,JOSM/1.5 (18646 en_GB),0,411,605,0,81,17,0,0,0,0,0,0,80.0,6.0,1.0,11.0,0.0,0.0,0.0,0.0,"{""building"": 80, ""highway"": 1}","{""highway"": 11, ""building"": 6, ""name"": 1}","#hotosm-project-14232,#TürkiyeEQ060223,#Syria,#AKDN,#OMHAP,#MissingMaps",2023-03-07 00:00:00+00:00,2023-03-07 21:21:53+00:00
38,dusziv,https://www.openstreetmap.org/user/dusziv,1861065,6,1077,Turkey,JOSM/1.5 (18678 en),0,353,629,0,68,27,0,0,0,0,0,0,68.0,24.0,0.0,2.0,0.0,0.0,0.0,0.0,"{""building"": 68, ""addr:city"": 1, ""addr:district"": 1, ""addr:housenumber"": 1, ""addr:neighbourhood"": 1, ""addr:postcode"": 1, ""addr:street"": 1, ""leisure"": 1, ""name"": 1, ""opening_hours"": 1, ""operator"": 1}","{""building"": 24, ""source"": 9, ""highway"": 2, ""damage:date"": 2, ""damage:event"": 2, ""damage:type"": 2, ""destroyed:building"": 2, ""earthquake:damage"": 2}","#hotosm-project-14233,#TürkiyeEQ060223,#yercizenler,#turkiye,#turkey",2023-03-07 00:00:00+00:00,2023-03-07 21:21:53+00:00
39,nachant,https://www.openstreetmap.org/user/nachant,16992694,3,1065,Syrian Arab Republic,iD 2.21.1,4232,346,636,0,75,8,0,0,0,0,0,0,41.0,3.0,34.0,5.0,0.0,0.0,0.0,0.0,"{""building"": 41, ""highway"": 34}","{""highway"": 5, ""building"": 3}","#hotosm-project-14311,#TürkiyeEQ060223,#Syria,#OMHAP,#MissingMaps",2023-03-07 00:00:00+00:00,2023-03-07 21:21:53+00:00
40,JFL-75,https://www.openstreetmap.org/user/JFL-75,13317783,2,1056,Syrian Arab Republic,JOSM/1.5 (18678 en),34,852,34,0,156,13,0,1,0,0,0,0,154.0,10.0,1.0,3.0,0.0,0.0,0.0,0.0,"{""building"": 154, ""highway"": 1, ""type"": 1}","{""building"": 10, ""highway"": 3, ""source"": 3}","#hotosm-project-14232,#TürkiyeEQ060223,#Syria,#AKDN,#OMHAP,#MissingMaps",2023-03-07 00:00:00+00:00,2023-03-07 21:21:53+00:00
41,fyassine4547,https://www.openstreetmap.org/user/fyassine4547,18645232,5,1038,Syrian Arab Republic,iD 2.21.1,0,837,58,0,140,3,0,0,0,0,0,0,140.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,"{""building"": 140}","{""highway"": 2, ""building"": 1}","#hotosm-project-14230,#TürkiyeEQ060223,#Syria,#AKDN,#OMHAP,#MissingMaps",2023-03-07 00:00:00+00:00,2023-03-07 21:21:53+00:00
42,Dredrexler10,https://www.openstreetmap.org/user/Dredrexler10,18542112,3,1013,Turkey,RapiD 1.1.9-tm.1,432,774,80,0,148,11,0,0,0,0,0,0,143.0,0.0,5.0,11.0,0.0,0.0,0.0,0.0,"{""building"": 143, ""source"": 15, ""highway"": 5}","{""highway"": 11, ""name"": 6, ""lanes"": 1, ""oneway"": 1, ""source"": 1, ""service"": 1}","#hotosm-project-14233,#TürkiyeEQ060223,#yercizenler,#turkiye,#turkey",2023-03-07 00:00:00+00:00,2023-03-07 21:21:53+00:00
43,Luke25,https://www.openstreetmap.org/user/Luke25,18139831,15,1013,Syrian Arab Republic,iD 2.21.1,3200,827,2,0,179,5,0,0,0,0,0,0,141.0,0.0,38.0,5.0,0.0,0.0,0.0,0.0,"{""building"": 141, ""highway"": 38}","{""highway"": 5}","#hotosm-project-14230,#TürkiyeEQ060223,#Syria,#AKDN,#OMHAP,#MissingMaps",2023-03-07 00:00:00+00:00,2023-03-07 21:21:53+00:00
44,Rabin Ojha,https://www.openstreetmap.org/user/Rabin%20Ojha,6075053,9,1004,Syrian Arab Republic,JOSM/1.5 (18646 en),0,371,522,0,72,38,0,1,0,0,0,0,71.0,27.0,1.0,4.0,0.0,0.0,0.0,0.0,"{""building"": 71, ""highway"": 1, ""type"": 1}","{""building"": 27, ""landuse"": 6, ""highway"": 4}","#hotosm-project-14232,#TürkiyeEQ060223,#Syria,#AKDN,#OMHAP,#MissingMaps,#nibar,#youthmappers,#osmnepal,#SMforST2023",2023-03-07 00:00:00+00:00,2023-03-07 21:21:53+00:00
