timestamp,users,changesets,map_changes,tags_create,tags_modify,highway_len_m,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,poi.create,poi.modify,building.create,building.modify,highway.create,highway.modify,waterway.create,waterway.modify,amenity.create,amenity.modify
2023-03-06,1,10,972,"{""building"": 114, ""addr:district"": 8, ""amenity"": 8, ""check_date"": 8, ""fixme"": 8, ""healthcare"": 8, ""name"": 8, ""note"": 8, ""phone"": 8, ""source"": 8, ""highway"": 2}","{""building"": 14, ""highway"": 2, ""source"": 2, ""alt_name"": 1, ""int_name"": 1, ""name"": 1, ""name:ar"": 1, ""name:ar1"": 1, ""name:de"": 1, ""name:en"": 1, ""name:fr"": 1, ""place"": 1}",157,691,149,0,116,16,0,0,0,0,8,1,114,14,2,2,0,0,8,0
2023-03-07,15,78,14283,"{""building"": 1551, ""highway"": 99, ""waterway"": 6, ""source"": 4, ""bridge"": 3, ""layer"": 3, ""name"": 2, ""type"": 1, ""addr:district"": 1, ""check_date"": 1, ""fixme"": 1, ""note"": 1, ""phone"": 1, ""shop"": 1, ""leisure"": 1}","{""building"": 169, ""highway"": 62, ""construction"": 50, ""source"": 49, ""landuse"": 30, ""name"": 7, ""waterway"": 7, ""layer"": 6, ""name:ar"": 5, ""oneway"": 3, ""name:de"": 3, ""name:ru"": 3, ""name:uk"": 3, ""name:en"": 2, ""tunnel"": 2, ""boat"": 2, ""name:azb"": 2, ""name:be"": 2, ""name:es"": 2, ""name:fa"": 2, ""name:gr"": 2, ""name:grc"": 2, ""name:sr"": 2, ""name:ur"": 2, ""natural"": 1, ""bridge"": 1, ""residential"": 1, ""alt_name"": 1, ""historic"": 1, ""man_made"": 1, ""name:bg"": 1, ""name:he"": 1, ""name:hu"": 1, ""name:ja"": 1, ""name:lt"": 1, ""name:tr"": 1, ""tourism"": 1, ""wikidata"": 1, ""wikipedia"": 1, ""amenity"": 1, ""leisure"": 1, ""sport"": 1}",16357,8080,4274,0,1657,271,0,1,0,0,1,0,1551,169,99,62,6,7,0,1
