rank,name,uid,changesets,map_changes,countries,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,poi.create,poi.modify,building.create,building.modify,highway.create,highway.modify,waterway.create,waterway.modify,amenity.create,amenity.modify,tags_create,tags_modify,hashtags
52,olaooo,18028953,9,2986,Angola,2390,0,0,596,0,0,0,0,0,0,0,596,0,0,0,0,0,0,0,"{""building"": 596}",{},"#hotosm-project-14169,#HuilaProvince,#msf,#missingmaps"
53,majocimi,18356472,84,2972,"Zambia,El Salvador",2325,32,66,540,0,9,0,0,0,0,0,540,0,0,0,0,0,0,0,"{""building"": 540}",{},"#hotosm-project-12307,#zambia-census,#acthot,#awsmapathon,#hotosm-project-12314,#hotosm-project-14029,#OpenCitiesLAC"
54,tonybendell,3620803,4,2956,Tajikistan,1568,864,78,326,113,7,0,0,0,0,0,324,92,2,18,0,0,0,0,"{""building"": 324, ""highway"": 2}","{""building"": 92, ""highway"": 18, ""landuse"": 3, ""layer"": 1, ""surface"": 1}","#hotosm-project-11752,#LittleEarth,#Tajikistan,#CartONG,#mapgive,#buildings,#roads,#rivers,#missingmaps,#Kiblai,#Simiganj,#jamoat,#osmgeoweek"
55,Mercy14846,9449463,1,2937,Indonesia,1876,602,74,373,10,1,1,0,0,0,0,373,5,0,4,0,1,0,0,"{""building"": 373, ""type"": 1}","{""building"": 5, ""highway"": 4, ""boat"": 1, ""source"": 1, ""waterway"": 1}","#hotosm-project-13822,#gempacianjur,#disasterresponse,#POI,#cianjur,#youthmappersfuta"
56,reisir,18166894,7,2875,Angola,2707,0,0,168,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,"{""building"": 166, ""landuse"": 2}",{},"#hotosm-project-14169,#HuilaProvince,#msf,#missingmaps"
57,D4MSF,18332251,2,2869,Chad,2718,0,0,151,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,"{""building"": 151}",{},"#hotosm-project-10468,#Silaregion,#Chad,#MSF,#MissingMaps"
58,CKORR,17630525,42,2776,Nigeria,472,1336,694,44,93,136,1,0,0,0,0,44,63,0,27,0,0,0,0,"{""building"": 44, ""building:part"": 1, ""type"": 1}","{""building"": 63, ""highway"": 27, ""surface"": 26, ""name"": 17, ""source"": 2, ""power"": 1, ""voltage"": 1, ""oneway"": 1, ""ref"": 1, ""width"": 1}","#hotosm-project-12361,#enswc,#waterandsanitation,#sdg"
59,utag,17608434,4,2724,Malawi,2282,76,0,346,20,0,0,0,0,0,0,229,0,112,17,5,3,0,0,"{""building"": 229, ""highway"": 112, ""waterway"": 5}","{""highway"": 17, ""surface"": 5, ""waterway"": 3, ""boat"": 1, ""intermittent"": 1, ""source"": 1}","#hotosm-project-12918,#worldvision,#cleanwater"
60,1234Admin,8882856,8,2605,"Libyan Arab Jamahiriya,Madagascar,India",1410,650,107,408,14,16,0,0,0,1,1,249,7,160,6,0,0,0,2,"{""building"": 249, ""highway"": 160, ""crossing"": 1}","{""building"": 7, ""highway"": 6, ""surface"": 2, ""amenity"": 2, ""religion"": 2, ""landuse"": 1, ""lit"": 1, ""name"": 1, ""oneway"": 1}","#hotosm-project-11607,#OSMGeoWeek,#MapLibya,#LNSDI,#MapTripoli,#LNDTI,#missingmaps,#Vegetation,#LandUseLandCover,#Buildings,#Infrastructure,#StreetsRoads,#Water,#Soil,#Air,#hotosm-project-14175,#boostergrants2022,#tourismmapping,#hotosm-project-14130,#OSMIndia,#OSMNorthEastIndia"
61,NicolasGrosjean,8833442,8,2602,Mali,2083,12,1,501,5,0,0,0,0,0,0,501,0,0,2,0,0,0,0,"{""building"": 501}","{""landuse"": 3, ""highway"": 2, ""surface"": 1}","#hotosm-project-13816,#CartONG,#MissingMaps,#Arcade,#DEMBELA,#Mali"
62,clbaumgartner,15841292,7,2595,Nigeria,63,1890,490,3,85,64,0,0,0,0,0,0,26,3,57,0,0,0,0,"{""highway"": 3}","{""highway"": 57, ""building"": 26, ""landuse"": 2, ""layer"": 1}","#hotosm-project-13280-,#Floodrisk,#IDP,#GRMI2022"
63,Chase_1,17899603,16,2566,"Nigeria,Democratic Republic of the Congo,Niger,Angola",2088,56,31,384,2,4,1,0,0,0,0,383,1,0,0,0,0,0,0,"{""building"": 383, ""landuse"": 1, ""type"": 1}","{""building"": 1}","#hotosm-project-13334,#Gummi,#Nigeria,#missingmaps,#msf,#hotosm-project-12803,#2022DRC,#Kisangani,#hotosm-project-14157,#IRSMagaria,#hotosm-project-14188,#HuilaProvince"
64,JFL-75,13317783,6,2478,United Republic of Tanzania,605,1051,537,128,34,123,0,0,0,0,0,128,26,0,8,0,0,0,0,"{""building"": 128, ""construction"": 4}","{""building"": 26, ""highway"": 8, ""surface"": 5, ""source"": 3, ""construction"": 1}","#hotosm-project-12527,#TanzaniaDevelomentTrust"
65,Meztly888,17951814,19,2432,Zambia,2126,0,0,305,1,0,0,0,0,0,0,305,0,0,1,0,0,0,0,"{""building"": 305, ""layer"": 2}","{""highway"": 1, ""surface"": 1}","#hotosm-project-12307,#zambia-census,#acthot,#awsmapathon"
66,DelawareWaterGap,10653308,17,2319,"South Africa,South Sudan",334,1810,36,62,73,4,0,0,0,0,1,62,70,0,4,0,0,0,0,"{""building"": 62}","{""building"": 70, ""highway"": 4, ""crossing"": 1, ""name"": 1, ""source"": 1, ""oneway"": 1, ""building:levels"": 1, ""layer"": 1}","#hotosm-project-12597,#DurbanFloods,#OpenMappingHub-ESA,#adt,#hotosm-project-13599,#REACH,#JurRiver"
67,rrissiek,17889,7,2316,South Sudan,1337,294,408,158,21,98,0,0,0,0,0,142,1,16,18,0,0,0,0,"{""building"": 142, ""highway"": 16, ""surface"": 9, ""source"": 1}","{""highway"": 18, ""surface"": 6, ""source"": 2, ""fixme"": 1, ""landuse"": 1, ""boundary"": 1, ""building"": 1}","#hotosm-project-13599,#REACH,#JurRiver"
68,frozenrabi,10459757,5,2291,Nepal,65,2208,0,16,2,0,0,0,0,0,1,16,0,0,0,0,0,0,0,"{""building"": 16}","{""ford"": 1, ""landuse"": 1, ""natural"": 1}","#hotosm-project-14015,#MappingRuralNepal,#bijaynagar,#OSMNepal,#YouthMappers,#OMHAP,#missingmaps,#digitalnepal,#mapbuds,#frozenrabi"
69,Grannymeg,13361440,12,2195,Sri Lanka,1749,53,2,372,19,0,0,0,0,1,2,365,1,0,7,0,0,2,1,"{""building"": 365, ""natural"": 3, ""landuse"": 3, ""amenity"": 2, ""layer"": 2, ""name"": 1}","{""landuse"": 11, ""highway"": 7, ""name"": 4, ""maxspeed"": 2, ""surface"": 2, ""is_in"": 1, ""is_in:continent"": 1, ""is_in:country"": 1, ""is_in:country_code"": 1, ""is_in:district"": 1, ""is_in:province"": 1, ""place"": 1, ""population"": 1, ""amenity"": 1, ""religion"": 1, ""motorcycle"": 1, ""smoothness"": 1, ""lanes"": 1, ""old_ref"": 1, ""ref"": 1, ""building"": 1}",#hotosm-project-8680
70,Safrano,6522497,7,2190,Botswana,795,276,983,60,5,71,0,0,0,0,0,60,5,0,0,0,0,0,0,"{""building"": 60}","{""building"": 5}","#hotosm-project-9960,#covid19,#COVBots"
71,vichada,2246826,1,2138,Zambia,1020,873,100,88,56,1,0,0,0,0,0,67,32,1,17,20,7,0,0,"{""building"": 67, ""intermittent"": 20, ""waterway"": 20, ""seasonal"": 12, ""highway"": 1}","{""building"": 32, ""highway"": 17, ""intermittent"": 7, ""waterway"": 7, ""surface"": 3, ""seasonal"": 2, ""ref"": 1}","#hotosm-project-11113,#liga-zambia"
72,pedr0faria,10482974,8,2114,Somalia,791,53,963,50,44,213,0,0,0,20,0,0,0,38,41,0,0,0,0,"{""highway"": 38, ""place"": 21, ""landuse"": 11}","{""highway"": 41, ""surface"": 25, ""barrier"": 3, ""attribution"": 1, ""source"": 1, ""tracktype"": 1}","#hotosm-project-13929,#UNMappers,#UNSOS,#Somalia"
73,Sudhasinghbhandari,10111738,23,2066,Nepal,1470,322,93,145,36,0,0,0,0,0,0,117,1,12,16,0,0,0,0,"{""building"": 117, ""highway"": 12, ""landuse"": 12, ""natural"": 4}","{""highway"": 16, ""natural"": 11, ""landuse"": 8, ""source"": 5, ""building"": 1}","#hotosm-project-13390,#BIPAD,#YILAB,#BenighatRorangRuralMunicipality,#DigitalVolunteers"
74,Tom2A,18165642,18,2044,"Peru,Democratic Republic of the Congo,Angola",1179,129,243,296,124,73,0,0,0,0,0,291,120,0,1,0,0,0,0,"{""building"": 291, ""landuse"": 5}","{""building"": 120, ""landuse"": 3, ""highway"": 1}","#hotosm-project-12926,#CENEPRED,#CONIDA,#MapatonPeru22,#hotosm-project-12803,#2022DRC,#Kisangani,#msf,#missingmaps,#hotosm-project-14188,#HuilaProvince"
75,Diana IRM-ED,8072061,5,2022,Indonesia,495,989,184,62,268,24,0,0,0,0,0,52,250,10,18,0,0,0,1,"{""building"": 52, ""highway"": 10}","{""building"": 250, ""highway"": 18, ""name"": 3, ""lanes"": 2, ""oneway"": 2, ""source"": 2, ""amenity"": 1}","#hotosm-project-13478,#padangcity,#GLAMMapping,#POI,#WMID"
76,Arie den Boon,11116458,5,1995,Democratic Republic of the Congo,226,1434,207,36,47,45,0,0,0,0,0,36,46,0,0,0,1,0,2,"{""building"": 36}","{""building"": 46, ""name"": 4, ""amenity"": 2, ""source"": 2, ""tourism"": 1, ""waterway"": 1}","#hotosm-project-12803,#2022DRC,#Kisangani,#msf,#missingmaps"
77,Dante Schiavone-Delfino,14684381,33,1954,"Rwanda,Nigeria",1572,0,0,377,5,0,0,0,0,0,0,377,1,0,3,0,0,0,0,"{""building"": 377}","{""highway"": 3, ""surface"": 2, ""admin_level"": 1, ""boundary"": 1, ""source"": 1, ""source:date"": 1, ""building"": 1}","#hotosm-project-13146,#MapRwanda,#OSMAfrica,#rwandayouthmappers,#hotosm-project-13280-,#Floodrisk,#IDP,#GRMI2022"
78,Caroline VDH,18390613,17,1953,Mali,1570,5,4,363,9,2,0,0,0,0,0,363,7,0,1,0,0,0,0,"{""building"": 363}","{""building"": 7, ""landuse"": 1, ""highway"": 1, ""surface"": 1}","#hotosm-project-13816,#CartONG,#MissingMaps,#Arcade,#DEMBELA,#Mali"
79,EsthersGeo,6532561,5,1926,"Madagascar,Bangladesh",1154,77,374,222,8,91,0,0,0,0,0,219,0,1,5,2,2,0,0,"{""building"": 219, ""waterway"": 2, ""highway"": 1, ""layer"": 1, ""tunnel"": 1}","{""highway"": 5, ""smoothness"": 3, ""surface"": 3, ""waterway"": 2, ""landuse"": 1, ""name"": 1, ""place"": 1}","#hotosm-project-14195,#cheneso,#cyclone,#flood,#osm-mg,#hotosm-project-12825,#OSMBD,#Bangladesh,#BangladeshFloodResponse2022"
80,Dary Raihanah IRM-ED,15053262,3,1910,Indonesia,669,569,388,170,89,25,0,0,0,0,0,166,65,3,14,0,0,0,0,"{""building"": 166, ""highway"": 3, ""man_made"": 1, ""floating"": 1, ""layer"": 1}","{""building"": 65, ""source"": 62, ""highway"": 14, ""man_made"": 6, ""name"": 4, ""access:roof"": 2, ""building:levels"": 2, ""building:roof"": 2, ""building:structure"": 2, ""building:walls"": 2, ""office"": 2, ""natural"": 1, ""landuse"": 1, ""capacity:persons"": 1, ""floating"": 1, ""layer"": 1, ""admin_level"": 1, ""oneway"": 1}","#hotosm-project-13478,#padangcity,#GLAMMapping,#POI,#WMID"
81,ElaJK123,17780149,19,1835,South Africa,1232,357,32,173,35,6,0,0,0,0,0,173,29,0,0,0,0,0,0,"{""building"": 173}","{""building"": 29, ""landuse"": 6}","#hotosm-project-12597,#DurbanFloods,#OpenMappingHub-ESA"
82,Marine@lb,548828,12,1803,Mali,1550,4,0,244,5,0,0,0,0,0,0,244,1,0,0,0,0,0,0,"{""building"": 244}","{""landuse"": 4, ""building"": 1}","#hotosm-project-13816,#CartONG,#MissingMaps,#Arcade,#DEMBELA,#Mali"
83,DCLIMACO,5123774,3,1799,"Egypt,Indonesia",1439,0,0,360,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,"{""building"": 360}",{},"#hotosm-project-14190,#missingmaps,#hotosm-project-13389,#hotosm-project-13865,#PolioOutbreakResponse,#SLSI,#OpenMapping_AsiaPacific"
84,vsmsherr,18216398,7,1779,Guinea,1456,2,0,312,9,0,0,0,0,0,1,312,2,0,2,0,0,0,1,"{""building"": 312, ""layer"": 1}","{""name"": 4, ""bus"": 2, ""highway"": 2, ""public_transport"": 2, ""source"": 2, ""leisure"": 2, ""operator"": 2, ""building"": 2, ""layer"": 1, ""landuse"": 1, ""amenity"": 1, ""power"": 1, ""voltage"": 1}",#hotosm-project-12195
85,ivyseal,17210145,16,1770,"Nepal,Zambia,Malawi",1555,16,12,153,31,3,0,0,0,0,0,38,0,115,31,0,0,0,0,"{""highway"": 115, ""building"": 38}","{""highway"": 31, ""surface"": 9, ""name"": 1, ""ref"": 1}","#hotosm-project-8942,#KLL,#covid_19,#mappingtheunmapped,#mapforcause,#osmnepal,#covid19-nepal,#hotosm-project-10147,#liga-zambia"
86,Jim Bedient,17786100,7,1758,"Indonesia,Angola",1234,236,108,152,9,19,0,0,0,0,0,140,1,10,8,0,0,0,0,"{""building"": 140, ""highway"": 10, ""surface"": 7, ""landuse"": 2, ""import"": 1, ""source"": 1}","{""highway"": 8, ""surface"": 5, ""lanes"": 3, ""name"": 3, ""import"": 2, ""source"": 2, ""building"": 1}","#hotosm-project-13822,#gempacianjur,#disasterresponse,#POI,#cianjur,#hotosm-project-14169,#HuilaProvince,#msf,#missingmaps"
87,Benjaminokeyoh1,10471608,18,1744,United Republic of Tanzania,1443,1,0,287,13,0,0,0,0,0,0,274,0,11,13,0,0,0,0,"{""building"": 274, ""highway"": 11}","{""highway"": 13, ""source"": 12}","#hotosm-project-13988,#TanzaniaDevelopmentTrust,#Tanzania,#missingmaps,#Benjaminokeyoh1"
88,Vivek Dumre,13116824,8,1698,"Cameroon,Guinea",939,396,147,171,26,19,0,0,0,0,0,171,8,0,11,0,0,0,0,"{""building"": 171}","{""highway"": 11, ""building"": 8, ""landuse"": 6, ""surface"": 1, ""natural"": 1}","#hotosm-project-13706,#OSMAfrica,#OSM_237,#hotosm-project-9864,#FreeLocalMappers,#Map4Gn,#Map4Africa,#YouthMappers,#watermarkdisasterresponse"
89,Steve425945290,18345887,5,1688,Niger,1074,0,486,82,0,46,0,0,0,0,0,82,0,0,0,0,0,0,0,"{""building"": 82}",{},"#hotosm-project-9443,#missingmaps,#redcross,#bbcg"
90,youngmapper,13063701,4,1594,"Nigeria,Zambia",1319,61,0,214,0,0,0,0,0,0,0,210,0,4,0,0,0,0,0,"{""building"": 210, ""highway"": 4}",{},"#hotosm-project-13808,#osmzimbabwe,#africanwomeningis,#anambra,#gisday,#youthmappersfuta,#hotosm-project-10147,#liga-zambia"
91,Ashok Thakulla,10963925,5,1588,"Madagascar,Nepal",1145,155,2,285,1,0,0,0,0,0,0,285,1,0,0,0,0,0,0,"{""building"": 285}","{""building"": 1}","#hotosm-project-14195,#cheneso,#cyclone,#flood,#osm-mg,#lovemaps,#28for28,#ges,#GES,#hotosm-project-14194,#Rautahat2023,#Digitalmapping,#YI-Lab,#EU,#MercyCorp,#Lovemaps"
92,peculiar theater,11880034,6,1570,Chad,755,493,121,152,41,8,0,0,0,0,0,101,31,51,9,0,0,0,0,"{""building"": 101, ""highway"": 51, ""surface"": 28}","{""building"": 31, ""highway"": 9, ""seasonal"": 3, ""surface"": 3, ""tracktype"": 3, ""landuse"": 1}","#hotosm-project-10468,#Silaregion,#Chad,#MSF,#MissingMaps"
93,Tantri IRM-ED,10910640,10,1521,Indonesia,182,1164,63,22,90,0,0,0,0,0,0,22,89,0,1,0,0,0,0,"{""building"": 22}","{""building"": 89, ""highway"": 1}","#hotosm-project-13478,#padangcity,#GLAMMapping,#POI,#WMID"
94,hel22,18352586,22,1513,"Namibia,South Africa",774,507,56,100,72,4,0,0,0,0,0,100,72,0,0,0,0,0,0,"{""building"": 100}","{""building"": 72, ""area"": 1}","#hotosm-project-14159,#hotosm-project-12597,#DurbanFloods,#OpenMappingHub-ESA"
95,LCecile,14819164,6,1487,India,1255,7,0,224,1,0,0,0,0,0,0,224,0,0,1,0,0,0,0,"{""building"": 224}","{""highway"": 1}",#hotosm-project-11558
96,hebolz,2249513,11,1477,"Democratic Republic of the Congo,Niger",280,966,123,66,14,28,0,0,0,0,0,66,11,0,3,0,0,0,0,"{""building"": 66}","{""building"": 11, ""highway"": 3}","#hotosm-project-12803,#2022DRC,#Kisangani,#msf,#missingmaps,#hotosm-project-14157,#IRSMagaria"
97,rt23,18236061,6,1440,South Africa,1155,41,7,224,11,2,0,0,0,0,0,216,9,0,1,0,0,0,0,"{""building"": 216, ""landuse"": 8}","{""building"": 9, ""cables"": 1, ""circuits"": 1, ""frequency"": 1, ""operator"": 1, ""power"": 1, ""voltage"": 1, ""highway"": 1}","#hotosm-project-12597,#DurbanFloods,#OpenMappingHub-ESA"
98,fred casto,18390608,13,1415,Mali,1130,7,0,272,6,0,0,0,0,0,0,272,4,0,1,0,0,0,0,"{""building"": 272, ""layer"": 1}","{""building"": 4, ""landuse"": 1, ""highway"": 1, ""surface"": 1}","#hotosm-project-13816,#CartONG,#MissingMaps,#Arcade,#DEMBELA,#Mali"
99,Aarogya Pandey,11807790,6,1404,Vietnam,1124,0,0,280,0,0,0,0,0,0,0,280,0,0,0,0,0,0,0,"{""building"": 280}",{},"#hotosm-project-12426,#RedRiverUrbanPlanning,#OSMVN"
100,HandoLH,18388592,15,1354,United Republic of Tanzania,1063,55,2,230,4,0,0,0,0,0,0,230,3,0,1,0,0,0,0,"{""building"": 230, ""layer"": 3}","{""building"": 3, ""highway"": 1}","#hotosm-project-14132,#TanzaniaDevelopmentTrust,#Tanzania,#missingmaps"
101,haabee,6518397,9,1299,South Africa,521,513,157,36,37,35,0,0,0,0,0,36,37,0,0,0,0,0,0,"{""building"": 36}","{""building"": 37}","#hotosm-project-12597,#DurbanFloods,#OpenMappingHub-ESA"
102,Narayan Thapa,11295416,2,1267,Nepal,316,682,166,43,25,35,0,0,0,0,1,24,18,3,3,0,0,0,0,"{""building"": 24, ""natural"": 16, ""highway"": 3}","{""building"": 18, ""highway"": 3, ""natural"": 3, ""ford"": 1, ""landuse"": 1}","#hotosm-project-14193,#Rautahat2023,#Digitalmapping,#YI-Lab,#EU,#MercyCorp"
103,Frans S,1962399,4,1211,Somalia,1065,6,38,23,74,5,0,0,0,9,0,0,19,1,53,0,0,0,0,"{""landuse"": 21, ""place"": 9, ""barrier"": 1, ""highway"": 1, ""surface"": 1}","{""highway"": 53, ""surface"": 27, ""building"": 19, ""landuse"": 1, ""fixme"": 1, ""barrier"": 1}","#hotosm-project-13929,#UNMappers,#UNSOS,#Somalia"
104,Jaimee Moreland,18391223,1,1148,Kenya,927,0,0,221,0,0,0,0,0,0,0,221,0,0,0,0,0,0,0,"{""building"": 221}",{},"#hotosm-project-12614,#Naxa,#RemoteMappingKenya,#YouthMappers,#dmd,#OSMNepal,#WBR,#NFL,#EPFL,#GESAN"
105,Wil_N,18390606,29,1135,Mali,905,10,1,217,2,0,0,0,0,0,0,217,2,0,0,0,0,0,0,"{""building"": 217}","{""building"": 2}","#hotosm-project-13816,#CartONG,#MissingMaps,#Arcade,#DEMBELA,#Mali"
106,esoj14,18390603,8,1132,Mali,1006,1,0,121,4,0,0,0,0,0,0,121,3,0,0,0,0,0,0,"{""building"": 121}","{""building"": 3, ""landuse"": 1}","#hotosm-project-13816,#CartONG,#MissingMaps,#Arcade,#DEMBELA,#Mali"
107,marco443,1886646,30,1056,"Mauritania,India",335,587,35,78,15,6,0,0,0,0,0,78,15,0,0,0,0,0,0,"{""building"": 78}","{""building"": 15}","#hotosm-project-11972,#Projet,#hotosm-project-13626"
108,vivi nukuhaly,18335752,5,1024,Indonesia,751,82,0,185,6,0,0,0,0,0,0,178,1,0,2,0,0,1,0,"{""building"": 178, ""amenity"": 1, ""name"": 1, ""opening_hours"": 1}","{""landuse"": 2, ""highway"": 2, ""surface"": 2, ""name"": 1, ""building"": 1, ""import"": 1, ""source"": 1}","#hotosm-project-14172,#boostergrants2022"
109,Tengku Almira IRM-ED,17716288,9,1019,Indonesia,709,123,10,170,7,0,0,0,0,0,0,170,5,0,1,0,1,0,0,"{""building"": 170, ""floating"": 1, ""layer"": 1}","{""building"": 5, ""name"": 2, ""boat"": 1, ""source"": 1, ""waterway"": 1, ""highway"": 1}","#hotosm-project-13478,#padangcity,#GLAMMapping,#POI,#WMID"
110,Hari TN,11853008,5,967,Japan,268,505,92,63,19,20,0,0,0,0,0,60,8,3,9,0,1,10,0,"{""building"": 60, ""source"": 42, ""amenity"": 10, ""name"": 10, ""highway"": 3, ""embankment"": 2, ""surface"": 2, ""bridge"": 1, ""layer"": 1}","{""source"": 13, ""highway"": 9, ""building"": 8, ""surface"": 4, ""name"": 3, ""embankment"": 2, ""name:ja"": 1, ""note"": 1, ""note:ja"": 1, ""source_ref"": 1, ""waterway"": 1, ""lanes"": 1, ""oneway"": 1, ""ref"": 1}","#Ohtsuchi,#hotosm-project-10531,#CrisisMappersJAPAN,#FuruhashiLab,#DRONEBIRD,#YouthMappersAGU,#amazonpsas"
111,Gaurav Parajuli,8316170,3,891,"Nepal,Namibia,Indonesia",772,14,11,86,5,3,0,0,0,0,0,77,0,3,2,0,0,0,0,"{""building"": 77, ""natural"": 6, ""highway"": 3}","{""landuse"": 2, ""highway"": 2, ""source:geometry"": 1, ""industrial"": 1, ""resource"": 1, ""natural"": 1}","#hotosm-project-14015,#MappingRuralNepal,#bijaynagar,#OSMNepal,#YouthMappers,#OMHAP,#missingmaps,#digitalnepal,#mapbuds,#gaurav,#gesan,#hotosm-project-14161,#Rundu,#Sikanduko-No-1,#SDFN,#hotosm-project-14172,#boostergrants2022,#osmnepal"
112,thobritt,17196782,3,888,"South Africa,Indonesia",750,0,0,138,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,"{""building"": 138}",{},"#hotosm-project-12597,#DurbanFloods,#OpenMappingHub-ESA,#hotosm-project-13822,#gempacianjur,#disasterresponse,#POI,#cianjur"
113,Smouser,12513117,55,867,El Salvador,702,0,0,160,5,0,0,0,0,0,0,160,2,0,2,0,0,0,0,"{""building"": 160, ""layer"": 2}","{""highway"": 2, ""ref"": 2, ""source"": 2, ""surface"": 2, ""building"": 2, ""admin_level"": 1, ""boundary"": 1}","#hotosm-project-13699,#OpenCitiesLAC,#hoganlovells,#HoganLovellsLouisville"
114,flipsteen,12588056,3,856,"Nigeria,Chad",295,313,162,55,0,31,0,0,0,0,0,55,0,0,0,0,0,0,0,"{""building"": 55}",{},"#hotosm-project-13280-,#Floodrisk,#IDP,#GRMI2022,#hotosm-project-10468,#Silaregion,#Chad,#MSF,#MissingMaps"
115,Astrantia,18061361,2,845,South Africa,435,305,9,63,33,0,0,0,0,0,0,63,32,0,1,0,0,0,0,"{""building"": 63}","{""building"": 32, ""highway"": 1, ""name"": 1, ""layer"": 1}","#hotosm-project-12597,#DurbanFloods,#OpenMappingHub-ESA"
116,Nicole-K,18322918,4,810,Zambia,683,0,0,127,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,"{""building"": 127}",{},"#hotosm-project-12308,#zambia-census,#acthot,#awsmapathon"
117,JaphetMasunzu,11525751,13,785,Democratic Republic of the Congo,639,66,41,16,23,0,0,0,0,0,0,0,0,0,0,15,23,0,0,"{""waterway"": 15}","{""waterway"": 23, ""name"": 3}","#hotosm-project-13806,#HydroRDC"
118,Zh9567,9940138,2,779,Malaysia,443,75,4,198,58,1,0,0,0,10,0,198,55,9,2,0,0,0,1,"{""building"": 198, ""bus"": 9, ""highway"": 9, ""public_transport"": 9, ""name"": 9, ""shelter"": 8, ""ref"": 8, ""name:zh"": 1, ""tourism"": 1}","{""building"": 55, ""highway"": 2, ""service"": 2, ""addr:city"": 1, ""addr:country"": 1, ""addr:place"": 1, ""addr:postcode"": 1, ""addr:street"": 1, ""amenity"": 1, ""email"": 1, ""fax"": 1, ""min_age"": 1, ""name"": 1, ""name:en"": 1, ""name:zh"": 1, ""official_name"": 1, ""phone"": 1, ""ref"": 1, ""website"": 1, ""wikidata"": 1, ""wikipedia"": 1}","#hotosm-project-13864,#uinspire,#uinspiremalaysia,#uinspireindonesia,#samukm,#SAfloodmapping,#grabmalaysia,#OSMMalaysia"
119,NickLinks,17622349,3,778,South Africa,476,138,80,64,1,19,0,0,0,0,0,64,1,0,0,0,0,0,0,"{""building"": 64}","{""building"": 1}","#hotosm-project-12597,#DurbanFloods,#OpenMappingHub-ESA"
120,gleung36,12123917,6,749,United Republic of Tanzania,601,0,0,146,2,0,0,0,0,0,0,146,0,0,2,0,0,0,0,"{""building"": 146}","{""highway"": 2, ""source"": 1}","#hotosm-project-14132,#TanzaniaDevelopmentTrust,#Tanzania,#missingmaps,#BloombergAPAC"
121,charles chilufya,10294659,5,749,"Nepal,Libyan Arab Jamahiriya",376,222,50,71,18,12,0,0,0,0,0,71,18,0,0,0,0,0,0,"{""building"": 71}","{""building"": 18}","#hotosm-project-8942,#KLL,#covid_19,#mappingtheunmapped,#mapforcause,#osmnepal,#covid19-nepal,#hotosm-project-10218,#OSMGeoWeek,#MapLibya,#LNSDI,#MapTripoli,#LNDTI,#missingmaps,#Vegetation,#LandUseLandCover,#Buildings,#Infrastructure,#StreetsRoads,#Water,#Soil,#Air"
122,yvobceph,18202858,14,740,Zambia,589,5,0,145,1,0,0,0,0,0,0,145,0,0,1,0,0,0,0,"{""building"": 145, ""layer"": 2}","{""highway"": 1}","#hotosm-project-12307,#zambia-census,#acthot,#awsmapathon"
123,earthoxygen,18216301,5,720,Libyan Arab Jamahiriya,581,1,0,137,1,0,0,0,0,0,0,137,0,0,1,0,0,0,0,"{""building"": 137}","{""highway"": 1, ""source"": 1, ""surface"": 1}","#hotosm-project-10220,#OSMGeoWeek,#MapLibya,#LNSDI,#MapMurqub,#LNDTI,#missingmaps,#Vegetation,#LandUseLandCover,#Buildings,#Infrastructure,#StreetsRoads,#Water,#Soil,#Air"
124,Charlotte_DofEGold,10267647,32,715,Rwanda,480,132,1,96,6,0,0,0,0,0,0,95,0,1,6,0,0,0,0,"{""building"": 95, ""highway"": 1}","{""highway"": 6}","#hotosm-project-13146,#MapRwanda,#OSMAfrica,#rwandayouthmappers"
125,Natalia Santos,18351536,10,714,El Salvador,563,4,6,136,4,1,0,0,0,0,0,136,0,0,4,0,0,0,0,"{""building"": 136, ""layer"": 2}","{""highway"": 4}","#hotosm-project-13934,#OpenCitiesLAC,#bloomberg,#latam"
126,BrightPear,14157330,7,704,Indonesia,203,228,188,43,4,38,0,0,0,0,0,43,4,0,0,0,0,0,0,"{""building"": 43}","{""building"": 4}","#hotosm-project-13822,#gempacianjur,#disasterresponse,#POI,#cianjur"
127,MaxStocker,18243545,3,687,"Chad,Libyan Arab Jamahiriya",558,0,0,129,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,"{""building"": 129}",{},"#hotosm-project-10468,#Silaregion,#Chad,#MSF,#MissingMaps,#haileybury,#hotosm-project-10220,#OSMGeoWeek,#MapLibya,#LNSDI,#MapMurqub,#LNDTI,#missingmaps,#Vegetation,#LandUseLandCover,#Buildings,#Infrastructure,#StreetsRoads,#Water,#Soil,#Air"
128,KSchierman,14018323,27,681,Egypt,522,53,0,102,4,0,0,0,0,0,0,99,0,3,2,0,0,0,0,"{""building"": 99, ""highway"": 3}","{""name"": 3, ""name:ar"": 3, ""name:en"": 3, ""highway"": 2, ""landuse"": 2, ""place"": 2, ""lanes"": 1, ""lit"": 1, ""surface"": 1}","#hotosm-project-14014,#MISSINMAP"
